0.074,0.274,0.504,0.81,0.786,0.316,0.726,0.826,0.832,0.884,0.572,0.78,0.794,0.35,0.866,0.216,0.826,0.912,0.742,0.848,0.87,0.764,0.9,0.906,0.894,0.91,0.926,0.944,0.896,0.726
0.042,0.518,0.128,0.706,0.648,0.544,0.672,0.902,0.872,0.776,0.948,0.734,0.832,0.738,0.88,0.872,0.844,0.928,0.9,0.924,0.892,0.898,0.902,0.872,0.928,0.934,0.874,0.856,0.736,0.964
0.066,0.666,0.572,0.19,0.74,0.698,0.802,0.798,0.58,0.744,0.89,0.93,0.824,0.924,0.806,0.922,0.336,0.85,0.858,0.542,0.24,0.856,0.94,0.318,0.964,0.8,0.724,0.67,0.96,0.858
0.02,0.474,0.768,0.796,0.696,0.774,0.728,0.838,0.87,0.456,0.81,0.73,0.904,0.834,0.902,0.884,0.018,0.512,0.826,0.9,0.94,0.946,0.918,0.94,0.906,0.89,0.93,0.766,0.872,0.712
0.09,0.672,0.552,0.704,0.694,0.834,0.656,0.784,0.892,0.576,0.82,0.872,0.692,0.52,0.49,0.936,0.89,0.058,0.906,0.568,0.84,0.85,0.884,0.932,0.938,0.8,0.904,0.72,0.67,0.95
0.038,0.596,0.496,0.648,0.674,0.644,0.892,0.364,0.804,0.882,0.804,0.404,0.834,0.684,0.916,0.898,0.876,0.91,0.844,0.948,0.73,0.86,0.932,0.498,0.868,0.758,0.468,0.606,0.936,0.736
0.012,0.188,0.688,0.466,0.342,0.682,0.892,0.726,0.848,0.852,0.92,0.682,0.904,0.92,0.838,0.84,0.642,0.902,0.854,0.906,0.652,0.92,0.834,0.838,0.904,0.858,0.882,0.944,0.518,0.774
0.072,0.386,0.736,0.634,0.734,0.874,0.71,0.602,0.866,0.82,0.664,0.916,0.916,0.96,0.846,0.86,0.844,0.926,0.898,0.532,0.96,0.438,0.934,0.916,0.916,0.848,0.69,0.856,0.912,0.916
0.062,0.15,0.536,0.81,0.782,0.634,0.844,0.876,0.9,0.81,0.92,0.92,0.024,0.91,0.878,0.908,0.912,0.942,0.944,0.952,0.848,0.656,0.784,0.91,0.842,0.8,0.392,0.864,0.926,0.79
0.068,0.334,0.464,0.402,0.68,0.776,0.384,0.692,0.274,0.86,0.892,0.874,0.72,0.888,0.884,0.922,0.884,0.916,0.93,0.908,0.65,0.44,0.81,0.646,0.908,0.82,0.63,0.91,0.756,0.822
0.054,0.402,0.66,0.792,0.662,0.31,0.894,0.904,0.526,0.912,0.884,0.892,0.948,0.908,0.856,0.894,0.822,0.934,0.906,0.868,0.602,0.928,0.724,0.852,0.888,0.536,0.652,0.91,0.788,0.464
0,0.118,0.112,0.642,0.712,0.83,0.792,0.766,0.918,0.768,0.872,0.856,0.902,0.918,0.84,0.896,0.91,0.944,0.912,0.748,0.936,0.944,0.626,0.138,0.122,0.944,0.872,0.964,0.924,0.942
0.086,0.366,0.696,0.782,0.754,0.782,0.716,0.9,0.876,0.912,0.546,0.84,0.82,0.79,0.748,0.88,0.208,0.928,0.368,0.904,0.922,0.912,0.89,0.624,0.91,0.948,0.884,0.692,0.84,0.884
